Rank,Player,Team,Position,"FHG Value","Games Played",SV%,GAA,W,SO,G,A,+/-,SOG,GWG,PPP,SHP,HITS,FOW
1,"Carey Price",MTL,G,198,59,0.925,2.21,98,18," "," "," "," "," "," "," "," "," "
2,"Tuukka Rask",BOS,G,191,58,0.927,2.13,89,16," "," "," "," "," "," "," "," "," "
3,"Alex Ovechkin",WSH,LW/RW,180,80," "," "," "," ",45,39,-9,388,9,39,0,226,1
4,"Jonathan Toews",CHI,C,131,79," "," "," "," ",26,45,33,205,6,15,4,42,793
5,"Henrik Lundqvist",NYR,G,127,55,0.923,2.22,86,11," "," "," "," "," "," "," "," "," "
6,"Claude Giroux",PHI,C/RW,127,81," "," "," "," ",22,57,-2,247,4,37,0,98,875
7,"Sidney Crosby",PIT,C,121,73," "," "," "," ",26,66,19,233,3,32,0,51,744
8,"Ben Bishop",TBL,G,116,52,0.921,2.25,87,11," "," "," "," "," "," "," "," "," "
9,"Ryan Getzlaf",ANA,C,115,76," "," "," "," ",24,55,22,190,5,19,2,115,560
10,"Braden Holtby",WSH,G,114,57,0.92,2.45,87,16," "," "," "," "," "," "," "," "," "
11,"Joe Pavelski",SJS,C/LW,114,82," "," "," "," ",31,39,14,236,5,28,1,74,550
12,"Cory Schneider",NJD,G,111,52,0.924,2.11,59,13," "," "," "," "," "," "," "," "," "
13,"Sergei Bobrovsky",CBJ,G,111,53,0.923,2.35,83,12," "," "," "," "," "," "," "," "," "
14,"Jamie Benn",DAL,LW,109,78," "," "," "," ",27,49,4,244,4,17,3,118,345
15,"Max Pacioretty",MTL,LW,106,76," "," "," "," ",30,34,22,284,7,15,2,90,3
16,"P.K. Subban",MTL,D,101,78," "," "," "," ",12,45,12,190,2,26,0,108,0
17,"Logan Couture",SJS,C/LW,96,76," "," "," "," ",24,38,8,252,5,19,3,52,401
18,"Patrice Bergeron",BOS,C,95,77," "," "," "," ",21,35,25,227,5,11,3,52,901
19,"Tyler Seguin",DAL,C/RW,94,77," "," "," "," ",30,45,15,285,5,23,0,53,192
20,"Dustin Byfuglien",WPG,RW/D,94,73," "," "," "," ",15,35,-6,234,2,21,0,191,0
21,"Shea Weber",NSH,D,94,79," "," "," "," ",16,34,5,214,2,19,0,173,0
22,"Jonathan Quick",LAK,G,92,57,0.914,2.2,81,13," "," "," "," "," "," "," "," "," "
23,"Rick Nash",NYR,LW/RW,89,73," "," "," "," ",29,29,21,284,7,10,3,39,3
24,"Chris Kunitz",PIT,LW,88,78," "," "," "," ",25,37,22,194,6,20,0,184,5
25,"Anze Kopitar",LAK,C,86,80," "," "," "," ",18,50,18,166,5,25,0,102,662
26,"Derek Stepan",NYR,C,85,77," "," "," "," ",17,43,24,180,3,13,5,46,555
27,"John Tavares",NYI,C,84,74," "," "," "," ",30,48,-2,247,5,27,0,41,589
28,"Oliver Ekman-Larsson",ARI,D,82,81," "," "," "," ",14,29,-7,217,4,20,0,145,0
29,"Drew Doughty",LAK,D,81,80," "," "," "," ",8,32,9,196,1,16,1,179,0
30,"Erik Karlsson",OTT,D,80,63," "," "," "," ",16,37,0,219,2,22,0,79,0
31,"Blake Wheeler",WPG,RW,79,81," "," "," "," ",24,42,10,231,4,15,2,142,14
32,"Duncan Keith",CHI,D,79,79," "," "," "," ",6,45,20,177,2,18,1,27,0
33,"Jaroslav Halak",NYI,G,78,44,0.915,2.28,73,14," "," "," "," "," "," "," "," "," "
34,"Nicklas Backstrom",WSH,C,77,82," "," "," "," ",15,64,-3,167,2,37,0,82,669
35,"Brent Burns",SJS,RW/D,75,67," "," "," "," ",16,31,6,211,2,14,0,129,22
36,"Ryan McDonagh",NYR,D,75,76," "," "," "," ",8,29,18,158,2,9,3,91,0
37,"Andrei Markov",MTL,D,74,81," "," "," "," ",9,38,10,133,2,26,1,47,0
38,"Marian Hossa",CHI,RW,72,74," "," "," "," ",23,35,25,230,4,14,3,45,2
39,"Mark Giordano",CGY,D,70,68," "," "," "," ",10,34,7,157,2,15,2,78,0
40,"Zdeno Chara",BOS,D,70,73," "," "," "," ",11,20,16,164,2,9,2,152,0
41,"Andrew Ladd",WPG,LW,68,80," "," "," "," ",22,41,10,204,4,14,1,180,20
42,"David Backes",STL,C/RW,67,78," "," "," "," ",20,35,10,174,2,14,0,255,570
43,"Tomas Plekanec",MTL,C,67,81," "," "," "," ",20,32,10,222,4,15,3,45,692
44,"Jeff Carter",LAK,C/RW,67,78," "," "," "," ",27,29,6,236,6,15,1,65,385
45,"Alexander Steen",STL,C/LW,66,70," "," "," "," ",22,37,12,217,6,19,1,40,192
46,"Henrik Zetterberg",DET,C/LW,66,67," "," "," "," ",15,49,6,220,3,26,1,38,354
47,"Patrick Kane",CHI,C/RW,66,70," "," "," "," ",26,48,11,218,5,25,0,19,3
48,"John Carlson",WSH,D,65,82," "," "," "," ",9,35,7,193,1,17,1,76,0
49,"Keith Yandle",NYR,D,65,83," "," "," "," ",8,44,-17,233,2,27,0,36,0
50,"Kevin Shattenkirk",STL,D,64,73," "," "," "," ",8,36,9,160,2,23,0,67,0
51,"Corey Perry",ANA,RW,64,74," "," "," "," ",30,37,21,233,5,14,0,75,6
52,"Kyle Turris",OTT,C,63,81," "," "," "," ",20,37,14,209,4,15,2,47,630
53,"Zach Parise",MIN,LW,61,74," "," "," "," ",27,34,13,270,4,19,0,85,5
54,"Patrick Marleau",SJS,C/LW,61,82," "," "," "," ",23,38,-8,258,4,24,1,81,135
55,"Pavel Datsyuk",DET,C/LW,60,62," "," "," "," ",19,41,13,159,4,20,1,45,508
56,"Brent Seabrook",CHI,D,59,81," "," "," "," ",8,27,12,151,1,12,1,158,0
57,"Aaron Ekblad",FLA,D,57,80," "," "," "," ",12,26,13,165,3,11,0,108,0
58,"Steven Stamkos",TBL,C,57,67," "," "," "," ",32,35,3,218,4,22,0,82,377
59,"Jakub Voracek",PHI,RW,56,82," "," "," "," ",22,51,2,226,3,29,0,36,4
60,"Johnny Boychuk",NYI,D,55,73," "," "," "," ",5,20,20,157,1,6,2,156,1
61,"Kris Letang",PIT,D,54,55," "," "," "," ",9,36,8,157,1,18,0,86,0
62,"Matt Duchene",COL,C/LW,54,77," "," "," "," ",20,45,0,215,5,13,0,56,549
63,"Roman Josi",NSH,D,53,78," "," "," "," ",11,33,4,181,2,13,1,44,0
64,"Bryan Little",WPG,C/RW,53,78," "," "," "," ",18,40,10,155,2,15,2,67,657
65,"Ryan Callahan",TBL,RW,53,73," "," "," "," ",19,28,8,194,3,14,2,205,14
66,"Alex Pietrangelo",STL,D,53,80," "," "," "," ",7,39,7,174,1,14,1,46,0
67,"Brad Marchand",BOS,LW,52,78," "," "," "," ",22,28,25,160,5,3,4,70,8
68,"Eric Staal",CAR,C,52,78," "," "," "," ",20,45,-7,242,3,14,2,64,533
69,"Phil Kessel",PIT,RW,52,82," "," "," "," ",27,48,-15,287,4,25,0,22,3
70,"Victor Hedman",TBL,D,52,69," "," "," "," ",9,35,7,141,1,9,2,76,0
71,"Matt Niskanen",WSH,D,51,77," "," "," "," ",6,29,17,131,3,10,0,120,0
72,"Ryan Suter",MIN,D,51,80," "," "," "," ",5,39,9,151,0,17,1,67,0
73,"Troy Brouwer",STL,RW,51,81," "," "," "," ",22,24,0,161,4,20,1,202,195
74,"James Neal",NSH,LW/RW,50,64," "," "," "," ",24,28,13,230,6,18,0,72,4
75,"Evgeni Malkin",PIT,C/RW,49,60," "," "," "," ",20,46,5,190,3,28,0,24,270
76,"Wayne Simmonds",PHI,LW/RW,49,78," "," "," "," ",24,31,-6,196,5,25,0,144,2
77,"Niklas Kronwall",DET,D,48,80," "," "," "," ",8,39,-3,108,1,25,0,87,0
78,"Ryan Johansen",CBJ,C/RW,48,77," "," "," "," ",21,34,-4,198,3,17,1,91,605
79,"Jarome Iginla",COL,RW,47,78," "," "," "," ",24,35,12,204,4,15,0,118,63
80,"Dion Phaneuf",TOR,D,46,77," "," "," "," ",7,27,-6,145,1,16,0,203,0
81,"Cody Franson",BUF,D,45,77," "," "," "," ",5,33,-9,119,0,18,0,225,0
82,"Justin Faulk",CAR,D,44,74," "," "," "," ",8,28,-12,174,1,12,2,117,0
83,"Pekka Rinne",NSH,G,44,48,0.915,2.32,66,11," "," "," "," "," "," "," "," "," "
84,"Jason Garrison",TBL,D,43,77," "," "," "," ",6,25,16,150,2,12,1,54,0
85,"Mike Green",DET,D,42,67," "," "," "," ",10,31,-2,162,2,17,0,68,0
86,"Jake Muzzin",LAK,D,42,76," "," "," "," ",7,24,8,164,1,10,0,164,0
87,"Mikko Koivu",MIN,C,41,75," "," "," "," ",12,42,2,177,4,18,1,47,740
88,"Milan Lucic",LAK,LW,40,79," "," "," "," ",16,34,20,143,3,9,0,242,37
89,"Alex Goligoski",DAL,D,39,81," "," "," "," ",4,37,5,132,0,13,1,96,0
90,"Marek Zidlicky",DET,D,39,82," "," "," "," ",8,29,-9,139,1,18,1,105,0
91,"Daniel Sedin",VAN,LW,39,78," "," "," "," ",16,46,6,228,4,21,0,28,4
92,"Jack Johnson",CBJ,D,39,79," "," "," "," ",6,29,-9,147,1,18,0,155,0
93,"Mark Streit",PHI,D,38,81," "," "," "," ",8,39,-7,134,1,22,0,53,0
94,"James van Riemsdyk",TOR,LW,37,81," "," "," "," ",24,33,-18,257,3,16,2,99,30
95,"Dennis Wideman",CGY,D,34,68," "," "," "," ",8,31,-8,146,1,15,1,78,0
96,"Francois Beauchemin",COL,D,33,72," "," "," "," ",7,18,25,112,1,5,1,118,0
97,"Roberto Luongo",FLA,G,32,48,0.918,2.36,61,9," "," "," "," "," "," "," "," "," "
98,"Joe Thornton",SJS,C,32,80," "," "," "," ",11,59,9,131,1,24,0,45,525
99,"James Wisniewski",CAR,D,32,65," "," "," "," ",7,30,-6,140,1,18,0,100,0
100,"Gabriel Landeskog",COL,LW,32,75," "," "," "," ",19,34,5,205,2,11,1,161,12
101,"Kari Lehtonen",DAL,G,31,60,0.912,2.57,82,12," "," "," "," "," "," "," "," "," "
102,"Andy Greene",NJD,D,31,82," "," "," "," ",5,22,7,107,2,8,2,84,0
103,"Nick Foligno",CBJ,C/LW,31,75," "," "," "," ",18,33,10,141,3,14,0,195,45
104,"John Klingberg",DAL,D,30,65," "," "," "," ",11,29,5,98,3,12,0,54,0
105,"Dougie Hamilton",CGY,D,27,69," "," "," "," ",7,25,9,150,1,10,0,93,0
106,"Cam Talbot",EDM,G,27,30,0.931,2.04,17,4," "," "," "," "," "," "," "," "," "
107,"Jason Pominville",MIN,RW,26,81," "," "," "," ",20,37,4,229,4,16,0,34,59
108,"Tyson Barrie",COL,D,26,66," "," "," "," ",9,30,4,112,2,12,0,60,0
109,"Nick Leddy",NYI,D,26,81," "," "," "," ",8,25,17,119,1,11,0,63,0
110,"Dan Girardi",NYR,D,26,80," "," "," "," ",4,18,7,112,1,3,1,199,0
111,"Radim Vrbata",VAN,RW,25,72," "," "," "," ",21,32,2,237,3,21,0,52,11
112,"Brayden Schenn",PHI,C/LW,25,81," "," "," "," ",15,29,-5,159,4,15,0,196,196
113,"TJ Brodie",CGY,D,25,80," "," "," "," ",6,27,2,109,2,8,2,42,0
114,"Frans Nielsen",NYI,C,25,80," "," "," "," ",15,35,-2,162,2,18,3,43,436
115,"T.J. Oshie",WSH,C/RW,23,67," "," "," "," ",16,34,11,140,3,14,2,77,12
116,"Evander Kane",BUF,LW,23,61," "," "," "," ",15,24,-5,232,3,6,2,180,29
117,"Christian Ehrhoff",LAK,D,23,70," "," "," "," ",5,23,-7,148,3,10,1,63,0
118,"Hampus Lindholm",ANA,D,22,78," "," "," "," ",7,25,28,112,1,5,0,57,0
119,"Nathan MacKinnon",COL,C/RW,22,73," "," "," "," ",19,32,7,217,4,12,0,50,198
120,"Mike Cammalleri",NJD,LW,22,68," "," "," "," ",22,25,-10,176,7,16,1,30,153
121,"Brandon Dubinsky",CBJ,C/LW,21,58," "," "," "," ",10,30,7,129,1,9,2,171,426
122,"Devan Dubnyk",MIN,G,20,48,0.917,2.5,61,11," "," "," "," "," "," "," "," "," "
123,"Henrik Sedin",VAN,C,20,78," "," "," "," ",13,52,12,105,1,22,0,35,569
124,"Dan Boyle",NYR,D,20,73," "," "," "," ",9,21,5,144,1,15,0,49,0
125,"Jaromir Jagr",FLA,RW,19,78," "," "," "," ",19,38,4,199,5,15,0,18,0
126,"Sean Monahan",CGY,C,19,78," "," "," "," ",27,21,-7,164,5,13,1,41,685
127,"Taylor Hall",EDM,C/LW,19,68," "," "," "," ",19,47,-4,221,2,15,0,57,35
128,"Jonas Hiller",CGY,G,19,46,0.914,2.47,69,10," "," "," "," "," "," "," "," "," "
129,"David Krejci",BOS,C,19,68," "," "," "," ",12,40,19,131,4,13,0,59,428
130,"Tyler Johnson",TBL,C,18,61," "," "," "," ",18,26,20,137,4,7,2,48,405
131,"Patrick Sharp",DAL,C/LW,17,66," "," "," "," ",19,33,5,233,2,17,0,57,58
132,"Derick Brassard",NYR,C,17,80," "," "," "," ",16,36,4,160,2,16,0,120,449
133,"Brian Campbell",FLA,D,17,82," "," "," "," ",6,29,-9,117,1,16,1,42,0
134,"Ondrej Palat",TBL,LW,16,60," "," "," "," ",14,29,24,113,3,7,2,105,5
135,"Jaden Schwartz",STL,LW,16,77," "," "," "," ",20,30,14,163,2,10,2,55,42
136,"Bobby Ryan",OTT,LW/RW,16,75," "," "," "," ",17,34,6,198,3,11,0,114,12
137,"Jordan Eberle",EDM,RW,16,81," "," "," "," ",23,41,-12,200,3,19,0,55,6
138,"Craig Anderson",OTT,G,15,40,0.921,2.5,51,10," "," "," "," "," "," "," "," "," "
139,"Vladimir Tarasenko",STL,RW,15,69," "," "," "," ",22,30,18,182,4,12,0,31,1
140,"Michael Del Zotto",PHI,D,15,70," "," "," "," ",5,22,-3,114,1,8,1,121,0
141,"Nazem Kadri",TOR,C,14,77," "," "," "," ",19,33,0,168,1,13,1,124,427
142,"Scott Darling",CHI,G,14,15,0.936,2.08,9,1," "," "," "," "," "," "," "," "," "
143,"Brandon Saad",CBJ,LW/RW,14,79," "," "," "," ",17,32,17,178,3,8,1,55,34
144,"Fedor Tyutin",CBJ,D,13,73," "," "," "," ",4,21,9,79,0,6,2,101,0
145,"Ryan Kesler",ANA,C/RW,13,62," "," "," "," ",16,21,-9,171,3,11,1,118,617
146,"Cam Fowler",ANA,D,13,71," "," "," "," ",5,26,6,90,1,11,1,43,0
147,"Jay Bouwmeester",STL,D,12,78," "," "," "," ",4,24,10,125,0,9,1,52,1
148,"Jacob Trouba",WPG,D,12,65," "," "," "," ",9,17,3,125,1,5,1,96,0
149,"Steve Mason",PHI,G,12,47,0.921,2.4,58,5," "," "," "," "," "," "," "," "," "
150,"Andrew Cogliano",ANA,C/LW/RW,12,82," "," "," "," ",17,19,12,144,3,0,4,106,20
151,"Alexander Edler",VAN,D,12,71," "," "," "," ",8,20,-13,182,0,13,0,111,1
152,"Antoine Vermette",ARI,C/LW,12,82," "," "," "," ",17,23,-11,139,3,12,1,90,785
153,"Scott Hartnell",CBJ,LW,11,70," "," "," "," ",19,27,2,182,2,16,0,143,5
154,"Jimmy Howard",DET,G,11,53,0.914,2.39,65,8," "," "," "," "," "," "," "," "," "
155,"Patrik Elias",NJD,C/LW,11,72," "," "," "," ",15,33,-8,137,1,16,4,27,201
156,"Adam Henrique",NJD,C,11,74," "," "," "," ",17,22,-3,131,3,12,4,61,337
157,"Tommy Wingels",SJS,LW/RW,10,74," "," "," "," ",12,20,-2,148,3,6,2,229,31
158,"Ben Lovejoy",PIT,D,10,66," "," "," "," ",2,14,8,96,1,2,1,176,0
159,"Torey Krug",BOS,D,10,53," "," "," "," ",9,18,10,127,1,11,0,42,0
160,"Thomas Vanek",MIN,LW/RW,9,74," "," "," "," ",23,38,0,204,2,16,0,28,13
161,"Paul Stastny",STL,C,9,71," "," "," "," ",16,34,2,145,4,15,0,37,575
162,"Trevor Daley",CHI,D,8,70," "," "," "," ",10,20,-1,109,2,7,1,38,0
163,"Erik Johnson",COL,D,8,60," "," "," "," ",7,18,2,128,1,8,0,104,0
164,"Brad Richards",DET,C/LW,8,79," "," "," "," ",14,33,1,219,2,13,0,31,432
165,"Tyler Bozak",TOR,C,7,73," "," "," "," ",18,31,-13,120,2,13,2,82,725
166,"Travis Hamonic",NYI,D,7,74," "," "," "," ",4,20,2,137,0,6,0,144,0
167,"Patric Hornqvist",PIT,RW,7,60," "," "," "," ",17,26,4,204,4,14,0,71,1
168,"Clarke MacArthur",OTT,LW,7,69," "," "," "," ",16,27,5,138,3,11,2,85,9
169,"Martin St. Louis",NYR,C/RW,6,79," "," "," "," ",23,47,10,178,1,9,0,23,43
170,"Jordan Staal",CAR,C/LW,6,69," "," "," "," ",10,26,-9,144,1,9,2,151,576
171,"Slava Voynov",LAK,D,6,57," "," "," "," ",3,22,5,95,1,9,0,108,1
172,"Brenden Dillon",SJS,D,6,80," "," "," "," ",4,10,-2,102,1,0,2,176,0
173,"Niklas Hjalmarsson",CHI,D,5,80," "," "," "," ",3,18,20,92,1,0,2,40,0
174,"Anton Stralman",TBL,D,5,81," "," "," "," ",5,18,17,118,0,5,0,98,0
175,"Marc-Edouard Vlasic",SJS,D,5,78," "," "," "," ",6,15,19,115,1,2,1,50,0
176,"Ryan O'Reilly",BUF,C/LW/RW,4,70," "," "," "," ",17,34,-4,160,2,14,1,25,378
177,"Dustin Brown",LAK,LW/RW,4,80," "," "," "," ",15,17,-1,202,2,8,0,248,12
178,"Brandon Sutter",VAN,C,3,81," "," "," "," ",15,15,0,157,4,5,3,71,536
179,"Nino Niederreiter",MIN,RW,3,81," "," "," "," ",19,18,7,146,3,7,1,165,5
180,"Kimmo Timonen",CHI,D,2,57," "," "," "," ",4,22,1,99,1,15,0,50,0
181,"Brendan Gallagher",MTL,RW,2,79," "," "," "," ",19,25,13,222,3,8,0,49,33
182,"Jared Spurgeon",MIN,D,1,67," "," "," "," ",6,19,7,110,1,8,0,67,0
183,"Ryan Nugent-Hopkins",EDM,C,1,75," "," "," "," ",16,36,-8,170,2,17,0,73,463
184,"Ryan Miller",VAN,G,1,53,0.915,2.58,71,8," "," "," "," "," "," "," "," "," "
185,"Justin Schultz",EDM,D,0,79," "," "," "," ",8,27,-21,123,2,15,0,33,0
186,"Kyle Okposo",NYI,RW,-0,71," "," "," "," ",16,41,-8,195,2,14,0,57,94
187,"Andrej Sekera",EDM,D,-1,69," "," "," "," ",6,23,0,105,0,8,1,53,0
188,"Mike Ribeiro",NSH,C,-1,81," "," "," "," ",15,46,-2,104,1,20,0,65,398
189,"Shane Doan",ARI,LW/RW,-2,77," "," "," "," ",17,26,-11,190,2,13,0,173,4
190,"Jori Lehtera",STL,C,-2,74," "," "," "," ",14,30,22,103,2,8,1,43,539
191,"Morgan Rielly",TOR,D,-2,77," "," "," "," ",5,23,-15,122,1,11,0,96,0
192,"Brooks Orpik",WSH,D,-2,76," "," "," "," ",1,14,8,57,0,0,0,249,0
193,"Dan Hamhuis",VAN,D,-3,72," "," "," "," ",3,24,9,113,0,4,0,85,0
194,"Cam Atkinson",CBJ,RW,-3,72," "," "," "," ",17,20,1,196,5,8,1,50,1
195,"Adam Lowry",WPG,LW,-3,79," "," "," "," ",11,12,1,102,3,2,1,254,400
196,"Seth Jones",NSH,D,-3,79," "," "," "," ",7,19,-10,109,1,9,1,63,0
197,"Kevin Bieksa",ANA,D,-3,66," "," "," "," ",5,14,-1,131,1,5,0,119,0
198,"David Desharnais",MTL,C,-4,81," "," "," "," ",13,36,12,98,3,13,0,35,539
199,"Luke Schenn",PHI,D,-4,72," "," "," "," ",3,11,0,89,0,0,0,252,0
200,"Craig Smith",NSH,C/RW,-4,78," "," "," "," ",17,24,6,211,3,10,0,65,32
201,"Justin Williams",WSH,RW,-4,81," "," "," "," ",16,29,15,214,2,9,0,40,2
202,"Cal Clutterbuck",NYI,RW,-4,74," "," "," "," ",8,9,-5,148,2,0,3,296,5
203,"Dennis Seidenberg",BOS,D,-5,64," "," "," "," ",2,13,12,95,1,0,0,153,0
204,"Matt Moulson",BUF,LW,-5,77," "," "," "," ",17,36,-5,189,2,17,0,40,5
205,"Patrick Wiercioch",OTT,D,-5,60," "," "," "," ",4,18,4,102,1,11,0,52,0
206,"Mike Fisher",NSH,C,-6,66," "," "," "," ",16,26,3,137,2,10,0,130,491
207,"Mark Stuart",WPG,D,-6,70," "," "," "," ",2,10,8,63,0,0,1,196,0
208,"Kris Russell",CGY,D,-6,67," "," "," "," ",4,23,4,98,0,11,0,49,0
209,"Martin Jones",SJS,G,-6,18,0.923,2.14,16,7," "," "," "," "," "," "," "," "," "
210,"Lee Stempniak",WPG,LW/RW,-6,74," "," "," "," ",12,25,-2,158,1,4,4,89,8
211,"Marc Methot",OTT,D,-6,66," "," "," "," ",3,15,9,88,0,2,0,159,0
212,"Lars Eller",MTL,C/LW,-7,77," "," "," "," ",11,20,-5,143,3,4,2,113,397
213,"Jarret Stoll",NYR,C,-7,77," "," "," "," ",7,17,6,103,2,5,2,186,561
214,"Justin Abdelkader",DET,LW/RW,-8,74," "," "," "," ",14,20,4,156,3,7,0,175,32
215,"Martin Hanzal",ARI,C,-8,56," "," "," "," ",11,24,-4,139,2,10,1,162,414
216,"Carl Hagelin",ANA,LW,-8,78," "," "," "," ",14,21,14,178,4,1,1,77,4
217,"Sergei Gonchar",MTL,D,-9,66," "," "," "," ",2,22,-1,87,1,11,0,56,0
218,"Frederik Andersen",ANA,G,-10,28,0.918,2.38,55,4," "," "," "," "," "," "," "," "," "
219,"Jiri Hudler",CGY,LW/RW,-10,75," "," "," "," ",19,40,2,123,2,14,0,30,12
220,"Matthew Carle",TBL,D,-11,74," "," "," "," ",4,24,9,100,0,5,0,41,0
221,"Mats Zuccarello",NYR,LW/RW,-11,60," "," "," "," ",12,28,13,124,2,8,1,92,6
222,"Ryan Ellis",NSH,D,-11,64," "," "," "," ",6,17,6,108,1,5,0,45,0
223,"Alec Martinez",LAK,D,-11,54," "," "," "," ",6,13,9,79,1,5,0,83,0
224,"Cody Eakin",DAL,C,-12,80," "," "," "," ",14,24,-3,144,2,5,2,87,515
225,"Loui Eriksson",BOS,LW/RW,-12,74," "," "," "," ",15,29,3,152,3,12,1,18,4
226,"Eric Brewer",TOR,D,-13,68," "," "," "," ",4,12,3,69,1,0,1,126,0
227,"Michael Stone",ARI,D,-13,73," "," "," "," ",5,13,-12,114,0,5,0,170,0
228,"Calvin de Haan",NYI,D,-14,58," "," "," "," ",2,12,-2,82,1,2,1,127,0
229,"Zach Bogosian",BUF,D,-14,58," "," "," "," ",4,13,-3,132,0,2,0,139,0
230,"David Perron",PIT,LW/RW,-14,80," "," "," "," ",18,30,-16,194,2,9,0,130,8
231,"Sean Couturier",PHI,C,-14,81," "," "," "," ",10,25,-1,148,1,5,3,64,509
232,"Radko Gudas",PHI,D,-14,47," "," "," "," ",2,10,0,78,1,2,0,178,0
233,"Kevin Hayes",NYR,RW,-14,79," "," "," "," ",17,28,15,111,1,5,1,57,247
234,"Jeff Petry",MTL,D,-14,80," "," "," "," ",6,13,-19,112,0,2,1,170,0
235,"Valtteri Filppula",TBL,C/LW,-15,75," "," "," "," ",15,32,-5,115,2,14,0,28,496
236,"Jussi Jokinen",FLA,C/LW/RW,-15,78," "," "," "," ",13,33,1,143,2,14,0,39,179
237,"Michael Frolik",CGY,C/RW,-15,80," "," "," "," ",12,24,7,189,2,3,2,52,24
238,"Alexei Emelin",MTL,D,-15,64," "," "," "," ",3,14,3,52,0,1,0,193,0
239,"Tyler Myers",WPG,D,-15,66," "," "," "," ",6,16,-16,104,1,5,1,89,0
240,"Paul Martin",SJS,D,-15,57," "," "," "," ",3,19,11,59,1,7,0,41,0
241,"Johan Franzen",DET,LW/RW,-15,52," "," "," "," ",12,26,2,139,3,16,0,63,51
242,"Brian Gionta",BUF,RW,-16,77," "," "," "," ",15,24,-3,175,3,9,1,56,35
243,"Kevin Klein",NYR,D,-16,74," "," "," "," ",5,14,5,79,1,0,0,118,0
244,"Jiri Tlusty",NJD,LW,-16,73," "," "," "," ",18,21,0,146,3,7,1,86,4
